bridge_type,port,PA,supplied_voltage_volts,sub1G_freq_MHz,2.4_beacon_power_dBm,EP,DC,cfg_power,output_power,register_changed,X_current,register_cfg
minew,BAT,0,3.698,915,2,50,0.33,0,0.7,0,44.27255814,
minew,BAT,0,3.698,915,2,50,0.33,1,1,0,47.35348837,
minew,BAT,0,3.698,915,2,50,0.33,2,2.57,0,50.09209302,
minew,BAT,0,3.698,915,2,50,0.33,3,3.2,0,51.46139535,
minew,BAT,0,3.698,915,2,50,0.33,4,4.4,0,56.93860465,
minew,BAT,0,3.698,915,2,50,0.33,5,5.3,0,58.99255814,
minew,BAT,0,3.698,915,2,50,0.33,6,6.2,0,62.07348837,
minew,BAT,0,3.698,915,2,50,0.33,7,7.4,0,67.20837209,
minew,BAT,0,3.698,915,2,50,0.33,8,8.3,0,69.94697674,
minew,BAT,0,3.698,915,2,50,0.33,9,9.3,0,73.37023256,
minew,BAT,0,3.698,915,2,50,0.33,10,10.2,0,77.47813953,
minew,BAT,0,3.698,915,2,50,0.33,11,11.1,0,80.90139535,
minew,BAT,0,3.698,915,2,50,0.33,12,12,0,86.37860465,
minew,BAT,0,3.698,915,2,50,0.33,13,12.9,0,91.17116279,
minew,BAT,0,3.698,915,2,50,0.33,14,7.3,1,43.93023256,pa_params.pa_duty_cycle = 0x02; pa_params.hp_max = 0x02;
minew,BAT,0,3.698,915,2,50,0.33,14,13.7,0,95.62139535,
minew,BAT,0,3.698,915,2,50,0.33,15,14.4,0,101.0986047,
minew,BAT,0,3.698,915,2,50,0.33,16,15.1,0,105.8911628,
minew,BAT,0,3.698,915,2,50,0.33,17,9.8,2,59.6772093,pa_params.pa_duty_cycle = 0x02; pa_params.hp_max = 0x03;
minew,BAT,0,3.698,915,2,50,0.33,17,15.8,0,111.3683721,
minew,BAT,0,3.698,915,2,50,0.33,18,16.3,0,121.295814,
minew,BAT,0,3.698,915,2,50,0.33,22,15,4,163.4018605,pa_params.pa_duty_cycle = 0x04; pa_params.hp_max = 0x07;
minew,BAT,0,3.698,915,2,50,0.33,22,12.6,3,117.187907,pa_params.pa_duty_cycle = 0x03; pa_params.hp_max = 0x05;
minew,BAT,0,3.698,915,2,50,0.33,22,9.7,2,73.02790698,pa_params.pa_duty_cycle = 0x02; pa_params.hp_max = 0x03;
minew,BAT,0,3.698,915,2,50,0.33,22,7.3,1,57.28093023,pa_params.pa_duty_cycle = 0x02; pa_params.hp_max = 0x02;
minew,BAT,1,3.698,915,2,50,0.33,-9,18.9,0,159.6362791,
minew,BAT,1,3.698,915,2,50,0.33,-8,20,0,176.7525581,
minew,BAT,1,3.698,915,2,50,0.33,-7,21,0,192.1572093,
minew,BAT,1,3.698,915,2,50,0.33,-6,21.9,0,210.9851163,
minew,BAT,1,3.698,915,2,50,0.33,-5,23.3,0,246.5869767,
minew,BAT,1,3.698,915,2,50,0.33,-4,24,0,262.3339535,
minew,BAT,1,3.698,915,2,50,0.33,-3,24.5,0,279.4502326,
minew,BAT,1,3.698,915,2,50,0.33,-2,25.2,0,308.547907,
minew,BAT,1,3.698,915,2,50,0.33,-1,25.7,0,331.8260465,
minew,BAT,1,3.698,915,2,50,0.33,10,26.2,5,334.5646512,pa_params.pa_duty_cycle = 0x04; pa_params.hp_max = 0x01
